"TAVE_ABS","TAVE_MEAN","CHA_ABS","CHA_MEAN","AERA"
"1",15.9916666666667,11.5083333333333,37.6666666666667,87.6666666666667,"阿里山"
"2",10.5583333333333,16.9416666666667,39.25,89.25,"鞍部"
"3",4.55,22.95,23.1666666666667,73.1666666666667,"板橋"
"4",3.8,23.7,30,80,"成功"
"5",3.95833333333333,23.5416666666667,28.5833333333333,78.5833333333333,"嘉義"
"6",2.725,24.775,25.25,75.25,"大武"
"7",4,23.5,30.0833333333333,80.0833333333333,"東吉島"
"8",2.08333333333333,25.4166666666667,27,77,"恆春"
"9",4.85,22.65,30,80,"新竹"
"10",4.15833333333333,23.3416666666667,26,76,"花蓮"
"11",2.09166666666667,25.4083333333333,25.75,75.75,"高雄"
"12",4.88333333333333,22.6166666666667,27.5833333333333,77.5833333333333,"基隆"
"13",6.43333333333333,21.0666666666667,29.9166666666667,79.9166666666667,"金門"
"14",5.03333333333333,22.4666666666667,38.5,88.5,"蘭嶼"
"15",8.8,18.7,32.5833333333333,82.5833333333333,"馬祖"
"16",4.30833333333333,23.1916666666667,29.25,79.25,"澎湖"
"17",5.8,21.7,31.75,81.75,"彭佳嶼"
"18",4.975,22.525,30.3333333333333,80.3333333333333,"蘇澳"
"19",8.3,19.2,33.5,83.5,"日月潭"
"20",3.95,23.55,23.1666666666667,73.1666666666667,"臺中"
"21",3.13333333333333,24.3666666666667,25.9166666666667,75.9166666666667,"臺南"
"22",4.34166666666667,23.1583333333333,24.6666666666667,74.6666666666667,"臺北"
"23",3.09166666666667,24.4083333333333,25.8333333333333,75.8333333333333,"臺東"
"24",5.5,22,30.75,80.75,"淡水"
"25",4.76666666666667,22.7333333333333,29.1666666666667,79.1666666666667,"梧棲"
"26",4.90833333333333,22.5916666666667,30.75,80.75,"新屋"
"27",23.4333333333333,4.06666666666667,27.6666666666667,77.6666666666667,"宜蘭"
"28",8.88333333333333,18.6166666666667,36,86,"玉山"
"29",NA,NA,NA,NA,"竹子湖"
